time,type,uav_id,details
7.5,target_discovery,0,"{""target_id"": 2, ""position"": [7.5, 0.5]}"
8.6,target_discovery,0,"{""target_id"": 7, ""position"": [8.5, 0.5]}"
11.3,outer_complete,6,"{""cells_covered"": 3}"
12.6,target_discovery,1,"{""target_id"": 5, ""position"": [3.5, 9.5]}"
13.7,target_discovery,4,"{""target_id"": 0, ""position"": [8.5, 3.5]}"
14.7,target_discovery,3,"{""target_id"": 6, ""position"": [2.5, 2.5]}"
14.8,outer_complete,5,"{""cells_covered"": 4}"
15.2,outer_complete,7,"{""cells_covered"": 5}"
15.7,outer_complete,2,"{""cells_covered"": 12}"
18.0,outer_complete,3,"{""cells_covered"": 12}"
18.2,outer_complete,1,"{""cells_covered"": 17}"
19.4,outer_complete,0,"{""cells_covered"": 19}"
21.1,outer_complete,4,"{""cells_covered"": 12}"
