time,type,uav_id,details
1.1,target_discovery,0,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
9.0,target_discovery,2,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
10.7,outer_complete,5,"{""cells_covered"": 7}"
10.7,inner_selection,,"{""selected_uavs"": [5]}"
11.2,target_discovery,7,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
11.9,target_discovery,0,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
11.9,outer_complete,4,"{""cells_covered"": 9}"
11.9,inner_selection,,"{""selected_uavs"": [5, 4]}"
13.0,target_discovery,5,"{""target_id"": 7, ""position"": [5.5, 5.5]}"
13.1,outer_complete,3,"{""cells_covered"": 11}"
13.1,inner_selection,,"{""selected_uavs"": [5, 4, 3]}"
13.5,target_discovery,6,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
14.4,outer_complete,2,"{""cells_covered"": 13}"
14.4,inner_selection,,"{""selected_uavs"": [5, 4, 3, 2]}"
16.7,outer_complete,6,"{""cells_covered"": 12}"
16.7,inner_selection,,"{""selected_uavs"": [5, 4, 3, 2, 6]}"
19.7,outer_complete,7,"{""cells_covered"": 12}"
19.7,target_assignment,7,"{""target_id"": 4, ""distance"": 2.0}"
19.7,target_assignment,7,"{""target_id"": 1, ""distance"": 6.0}"
22.1,target_discovery,6,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
22.7,outer_complete,1,"{""cells_covered"": 22}"
22.7,target_assignment,1,"{""target_id"": 3, ""distance"": 12.0}"
23.8,outer_complete,0,"{""cells_covered"": 23}"
23.8,target_assignment,0,"{""target_id"": 6, ""distance"": 11.0}"
25.0,mission_complete,7,{}
28.8,target_discovery,6,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
28.9,outer_complete,2,"{""cells_covered"": 22}"
28.9,outer_complete,3,"{""cells_covered"": 23}"
28.9,outer_complete,4,"{""cells_covered"": 23}"
28.9,outer_complete,5,"{""cells_covered"": 22}"
28.9,outer_complete,6,"{""cells_covered"": 19}"
32.9,mission_complete,1,{}
34.9,mission_complete,0,{}
35.1,mission_complete,5,{}
38.8,mission_complete,2,{}
39.3,mission_complete,3,{}
