time,type,uav_id,details
1.1,target_discovery,0,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
9.0,target_discovery,6,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
10.7,outer_complete,9,"{""cells_covered"": 7}"
11.9,target_discovery,0,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
11.9,outer_complete,8,"{""cells_covered"": 9}"
13.0,target_discovery,5,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
13.1,outer_complete,5,"{""cells_covered"": 3}"
13.1,outer_complete,7,"{""cells_covered"": 11}"
13.4,target_discovery,2,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
14.4,outer_complete,6,"{""cells_covered"": 13}"
14.5,target_discovery,2,"{""target_id"": 9, ""position"": [1.5, 6.5]}"
15.0,outer_complete,4,"{""cells_covered"": 5}"
16.8,outer_complete,3,"{""cells_covered"": 7}"
18.8,outer_complete,2,"{""cells_covered"": 9}"
22.6,outer_complete,1,"{""cells_covered"": 21}"
23.8,outer_complete,0,"{""cells_covered"": 23}"
